#  -- from statpoint.net
# Row num --Year --	Leading average*1e3
1	1901	422
2	1902	376
3	1903	355
4	1904	381
5	1905	377
6	1906	358
7	1907	350
8	1908	354
9	1909	377
10	1910	385
11	1911	420
12	1912	410
13	1913	390
14	1914	368
15	1915	369
16	1916	386
17	1917	383
18	1918	382
19	1919	384
20	1920	407
21	1921	397
22	1922	420
23	1923	403
24	1924	424
25	1925	403
26	1926	378
27	1927	398
28	1928	387
29	1929	398
30	1930	401
31	1931	390
32	1932	368
33	1933	368
34	1934	363
35	1935	385
36	1936	388
37	1937	374
38	1938	349
39	1939	381
40	1940	355
41	1941	406
42	1942	356
43	1943	357
44	1944	357
45	1945	355
46	1946	365
47	1947	363
48	1948	376
49	1949	343
50	1950	354
51	1951	355
52	1952	336
53	1953	344
54	1954	345
55	1955	340
56	1956	353
57	1957	388
58	1958	350
59	1959	355
60	1960	325
61	1961	361
62	1962	346
63	1963	326
64	1964	339
65	1965	329
66	1966	342
67	1967	357
68	1968	335
69	1969	348
70	1970	366
71	1971	363
72	1972	333
73	1973	350
74	1974	364
75	1975	359
76	1976	339
77	1977	388
78	1978	334
79	1979	344
80	1980	390
81	1981	341
82	1982	332
83	1983	361
84	1984	351
85	1985	368
86	1986	357
87	1987	369
88	1988	366
89	1989	339
90	1990	335
91	1991	342
92	1992	343
93	1993	370
94	1994	394
95	1995	368
96	1996	358
97	1997	372
98	1998	363
99	1999	379
100	2000	372
101	2001	350
102	2002	370
103	2003	359
104	2004	372
105	2005	335
106	2006	347
107	2007	363
108	2008	364
109	2009	365
110	2010	359
111	2011	344
112	2012	336
113	2013	348
