## Old faithful erruption data -- from statpoint.net
## duration	waiting time
## Row # --	min*1e3	-- minutes between eruptions
1	3600	79
2	1800	54
3	3333	74
4	2283	62
5	4533	85
6	2883	55
7	4700	88
8	3600	85
9	1950	51
10	4350	85
11	1833	54
12	3917	84
13	4200	78
14	1750	47
15	4700	83
16	2167	52
17	1750	62
18	4800	84
19	1600	52
20	4250	79
21	1800	51
22	1750	47
23	3450	78
24	3067	69
25	4533	74
26	3600	83
27	1967	55
28	4083	76
29	3850	78
30	4433	79
31	4300	73
32	4467	77
33	3367	66
34	4033	80
35	3833	74
36	2017	52
37	1867	48
38	4833	80
39	1833	59
40	4783	90
41	4350	80
42	1883	58
43	4567	84
44	1750	58
45	4533	73
46	3317	83
47	3833	64
48	2100	53
49	4633	82
50	2000	59
51	4800	75
52	4716	90
53	1833	54
54	4833	80
55	1733	54
56	4883	83
57	3717	71
58	1667	64
59	4567	77
60	4317	81
61	2233	59
62	4500	84
63	1750	48
64	4800	82
65	1817	60
66	4400	92
67	4167	78
68	4700	78
69	2067	65
70	4700	73
71	4033	82
72	1967	56
73	4500	79
74	4000	71
75	1983	62
76	5067	76
77	2017	60
78	4567	78
79	3883	76
80	3600	83
81	4133	75
82	4333	82
83	4100	70
84	2633	65
85	4067	73
86	4933	88
87	3950	76
88	4517	80
89	2167	48
90	4000	86
91	2200	60
92	4333	90
93	1867	50
94	4817	78
95	1833	63
96	4300	72
97	4667	84
98	3750	75
99	1867	51
100	4900	82
101	2483	62
102	4367	88
103	2100	49
104	4500	83
105	4050	81
106	1867	47
107	4700	84
108	1783	52
109	4850	86
110	3683	81
111	4733	75
112	2300	59
113	4900	89
114	4417	79
115	1700	59
116	4633	81
117	2317	50
118	4600	85
119	1817	59
120	4417	87
121	2617	53
122	4067	69
123	4250	77
124	1967	56
125	4600	88
126	3767	81
127	1917	45
128	4500	82
129	2267	55
130	4650	90
131	1867	45
132	4167	83
133	2800	56
134	4333	89
135	1833	46
136	4383	82
137	1883	51
138	4933	86
139	2033	53
140	3733	79
141	4233	81
142	2233	60
143	4533	82
144	4817	77
145	4333	76
146	1983	59
147	4633	80
148	2017	49
149	5100	96
150	1800	53
151	5033	77
152	4000	77
153	2400	65
154	4600	81
155	3567	71
156	4000	70
157	4500	81
158	4083	93
159	1800	53
160	3967	89
161	2200	45
162	4150	86
163	2000	58
164	3833	78
165	3500	66
166	4583	76
167	2367	63
168	5000	88
169	1933	52
170	4617	93
171	1917	49
172	2083	57
173	4583	77
174	3333	68
175	4167	81
176	4333	81
177	4500	73
178	2417	50
179	4000	85
180	4167	74
181	1883	55
182	4583	77
183	4250	83
184	3767	83
185	2033	51
186	4433	78
187	4083	84
188	1833	46
189	4417	83
190	2183	55
191	4800	81
192	1833	57
193	4800	76
194	4100	84
195	3966	77
196	4233	81
197	3500	87
198	4366	77
199	2250	51
200	4667	78
201	2100	60
202	4350	82
203	4133	91
204	1867	53
205	4600	78
206	1783	46
207	4367	77
208	3850	84
209	1933	49
210	4500	83
211	2383	71
212	4700	80
213	1867	49
214	3833	75
215	3417	64
216	4233	76
217	2400	53
218	4800	94
219	2000	55
220	4150	76
221	1867	50
222	4267	82
223	1750	54
224	4483	75
225	4000	78
226	4117	79
227	4083	78
228	4267	78
229	3917	70
230	4550	79
231	4083	70
232	2417	54
233	4183	86
234	2217	50
235	4450	90
236	1883	54
237	1850	54
238	4283	77
239	3950	79
240	2333	64
241	4150	75
242	2350	47
243	4933	86
244	2900	63
245	4583	85
246	3833	82
247	2083	57
248	4367	82
249	2133	67
250	4350	74
251	2200	54
252	4450	83
253	3567	73
254	4500	73
255	4150	88
256	3817	80
257	3917	71
258	4450	83
259	2000	56
260	4283	79
261	4767	78
262	4533	84
263	1850	58
264	4250	83
265	1983	43
266	2250	60
267	4750	75
268	4117	81
269	2150	46
270	4417	90
271	1817	46
272	4467	74
